clock_source			00000004    00030000	 1     1
cnfg_mpa_ssa_board_slave_6_config				40019008	FFFFFFFF	1     1		
cnfg_mpa_ssa_board_slave_7_config				40019009	FFFFFFFF	1     1		
cnfg_mpa_ssa_board_slave_8_config				4001900A	FFFFFFFF	1     1		
cnfg_mpa_ssa_board_slave_9_config				4001900B	FFFFFFFF	1     1		
cnfg_mpa_ssa_board_slave_10_config				4001900C	FFFFFFFF	1     1		
cnfg_mpa_ssa_board_slave_11_config				4001900D	FFFFFFFF	1     1	
cnfg_mpa_ssa_board_slave_12_config				4001900E	FFFFFFFF	1     1		
cnfg_mpa_ssa_board_slave_13_config				4001900F	FFFFFFFF	1     1		
cnfg_mpa_ssa_board_slave_14_config				40019010	FFFFFFFF	1     1		
cnfg_mpa_ssa_board_slave_15_config				40019011	FFFFFFFF	1     1	
*
ctrl_mpa_ssa_board_reset					40029000	00000001	1     1
*
mpa_ssa_i2c_request_command_type	40021002    f0000000	1	1
mpa_ssa_i2c_request_word_id		40021002    0C000000	1	1
mpa_ssa_i2c_request_word0_slave_id	40021002    03E00000	1	1
mpa_ssa_i2c_request_word0_board_id	40021002    00100000	1	1
mpa_ssa_i2c_request_word0_read		40021002    00010000	1	1
mpa_ssa_i2c_request_word0_register	40021002    0000FFFF	1	1
mpa_ssa_i2c_request_word1_data		40021002    00FFFFFF	1	1
*
mpa_ssa_i2c_reply_slave_id		40021003    F8000000	1	1
mpa_ssa_i2c_reply_board_id		40021003    04000000	1	1
mpa_ssa_i2c_reply_err			40021003    01000000	1	1
mpa_ssa_i2c_reply_data			40021003    00FFFFFF	1	1
*
mpa_ssa_i2c_wrapper_state		40039000    0000000f    1       0
mpa_ssa_i2c_fsm_state			40039000    000000f0    1       0
* MPA SSA BOARD ED testing
mpa_ssa_fifo				40040000    FFFFFFFF    1       1
mpa_ssa_fifo_control			40040001    FFFFFFFF    1       1
mpa_ssa_fifo_xmit			40040001    80000000	1	1
mpa_ssa_fifo_output_port		40040001    0000000F	1	1
mpa_ssa_fifo_input_port			40040001    00001F00	1	1
mpa_ssa_fifo_delay			40040001    000F0000	1	1
mpa_ssa_fifo_clockout			40040001    00000010	1	1
mpa_ssa_fifo_data			40040002    FFFFFFFF	1	1
mpa_ssa_fifo_read			40040003    FFFFFFFF	1	1
